handle,title,format,source_price_eur,source_page,website_image,curative_drive_image,local_image,commercial_note
exoboost,Exoboost,30 ml,85.00,https://skinclinic.es/en/serums/4495-17760-exoboost-0000000139328.html,https://skinclinic.es/1083-large_default/exoboost.jpg,,images/exoboost.jpg,Advanced exosome positioning; verify claims and approved SGD price before publication
exoday-cream,Exoday Cream,50 ml,89.90,https://skinclinic.es/en/day-creams/4496-17763-exoday-cream-0000000139335.html,https://skinclinic.es/1084-large_default/exoday-cream.jpg,,images/exoday-cream.jpg,Advanced exosome positioning; verify claims and approved SGD price before publication
exonight-cream,Exonight Cream,50 ml,89.90,https://skinclinic.es/en/night-creams/4497-17764-exonight-0000000139342.html,https://skinclinic.es/1085-large_default/exonight.jpg,,images/exonight-cream.jpg,Advanced exosome positioning; verify claims and approved SGD price before publication
micellar-cloud,Micellar Cloud,150 ml,22.14,https://skinclinic.es/en/facial-cleansers/4501-22127-micellar-cloud-0000000139380.html,https://skinclinic.es/1104-large_default/micellar-cloud.jpg,,images/micellar-cloud.jpg,EUR price is reference only; set approved SGD price before publication
melanyc,Melanyc,50 ml,94.90,https://skinclinic.es/en/night-creams/2070-64-melanyc-0000000109635.html,https://skinclinic.es/1026-home_default/melanyc.jpg,https://drive.google.com/file/d/1iuYXx3LP-5y_N2I6y7bWHp8HpSlIO4DS/view,images/melanyc.jpg,EUR price is reference only; set approved SGD price before publication
melanyc-daily,Melanyc Daily,50 ml,75.10,https://skinclinic.es/en/night-creams/2071-melanyc-daily-0000000109642.html,https://skinclinic.es/1027-home_default/melanyc-daily.jpg,https://drive.google.com/file/d/1BBs6zfAfCdqa1xuhWVnzzUPY570sHlB4/view,images/melanyc-daily.jpg,EUR price is reference only; set approved SGD price before publication
melanyc-serum,Melanyc Serum,30 ml,54.80,https://skinclinic.es/en/serums/2140-334-melanyc-serum-0000000110303.html,https://skinclinic.es/1050-home_default/melanyc-serum.jpg,https://drive.google.com/file/d/1uI1cin6y2AHXzpEYXnex2Mv2C1k2rVNb/view,images/melanyc-serum.jpg,EUR price is reference only; set approved SGD price before publication
melanyc-pro,Melanyc Pro,50 ml,115.91,https://skinclinic.es/en/pigmentation/4500-17770-melanyc-pro-0000000139373.html,https://skinclinic.es/1088-home_default/melanyc-pro.jpg,https://drive.google.com/file/d/1WEew-EuPDHzfQlkMq-dfy4IbYw-RC6hz/view,images/melanyc-pro.jpg,Confirm consumer-sale eligibility and approved SGD price
rosanic-cream,Rosanic Cream,50 ml,48.50,https://skinclinic.es/en/for-interest/2167-rosanic-cream-0000000110570.html,https://skinclinic.es/1079-home_default/rosanic-cream.jpg,https://drive.google.com/file/d/1ZLjyR3O_U-1bhoKQFctfSjv2M-xM20y0/view,images/rosanic-cream.jpg,EUR price is reference only; set approved SGD price before publication
ferulast,Ferulast,30 ml,72.00,https://skinclinic.es/en/serums/2098-ferulast-0000000109918.html,https://skinclinic.es/361-home_default/ferulast.jpg,https://drive.google.com/file/d/1a-mZaF1yS30KiAyGYD6U65LekixZ8oqe/view,images/ferulast.jpg,EUR price is reference only; set approved SGD price before publication
hialucos,Hialucos,50 ml,44.60,https://skinclinic.es/en/for-interest/2114-hialucos-0000000110068.html,https://skinclinic.es/394-home_default/hialucos.jpg,https://drive.google.com/file/d/12V86MMfRXQTfgtM47p_ksEF8TJv861Zq/view,images/hialucos.jpg,EUR price is reference only; set approved SGD price before publication
retiplus,Retiplus,50 ml,74.90,https://skinclinic.es/en/night-creams/2165-retiplus-0000000110556.html,https://skinclinic.es/1023-home_default/retiplus.jpg,https://drive.google.com/file/d/1Yali1nwtN63_4trCNFvjQ1aOKb2X6Y25/view,images/retiplus.jpg,Advanced active; confirm warnings and approved SGD price
redensity-cream,Redensity Cream,50 ml,61.30,https://skinclinic.es/en/for-interest/2242-338-redensity-cream-0000000112758.html,https://skinclinic.es/1067-home_default/redensity-cream.jpg,https://drive.google.com/file/d/1ymET2wSp3cCtSLNat7_3lVs389lG9GZ_/view,images/redensity.jpg,EUR price is reference only; set approved SGD price before publication
zalyc-serum,Zalyc Serum,30 ml,45.90,https://skinclinic.es/en/serums/2236-68-zalyc-serum-0000000111249.html,https://skinclinic.es/509-home_default/zalyc-serum.jpg,https://drive.google.com/file/d/1mpLGP3KytBNfd5M9YUJmIBaj_e-5reWP/view,images/zalyc-serum.jpg,EUR price is reference only; set approved SGD price before publication
